source,name,category,average_rating,price_range,latitude,longitude,description
OpenStreetMap,Tickety Boo Resort,hotel,,,11.1723026,123.802323,
OpenStreetMap,Balibanda Restaurant,restaurant,,,11.3298243,124.1216245,
OpenStreetMap,Jacuzzi Pool,information,,,10.3224461,123.8486722,
OpenStreetMap,Samchino Restaurant,restaurant,,,10.3132843,123.8962095,
OpenStreetMap,Brunch Desserts,restaurant,,,10.3131886,123.8960948,
OpenStreetMap,Brown Cup,cafe,,,10.3130316,123.8961524,
OpenStreetMap,Mother's Fried Chicken,restaurant,,,10.3131014,123.8961277,
OpenStreetMap,Taras,restaurant,,,10.3133239,123.8963838,
OpenStreetMap,Sampaguitasuites JRG,hotel,,,10.3103335,123.8944886,
OpenStreetMap,BlueFins Resort,beach_resort,,,10.2794278,123.9957372,
OpenStreetMap,Caohagan House,hotel,,,10.2027401,124.0180282,
OpenStreetMap,Ichiriki Chaya,hotel,,,10.3399103,123.9230886,
OpenStreetMap,Ichiriki Chaya,restaurant,,,10.3398955,123.9231262,
OpenStreetMap,Chibori,restaurant,,,10.3313183,123.9084902,
OpenStreetMap,Chosun Galbi,restaurant,,,10.3435343,123.9147782,
OpenStreetMap,Crazy Crab,restaurant,,,10.3388578,123.9108527,
OpenStreetMap,일미식당,restaurant,,,10.3402574,123.9112137,
OpenStreetMap,Chosun Chicken,restaurant,,,10.3442457,123.9122054,
OpenStreetMap,Tomsigdang,restaurant,,,10.3265647,123.9172368,
OpenStreetMap,Seohae,restaurant,,,10.3396874,123.9252246,
OpenStreetMap,Ringtop Pension House,guest_house,,,10.3130385,123.9118045,
OpenStreetMap,Bubble Bee Tea House,restaurant,,,10.3173557,123.8948959,
OpenStreetMap,San Jose Pension,guest_house,,,10.3092668,123.901797,
OpenStreetMap,Cebu Uptown Apartelle,hotel,,,10.3116963,123.9021077,
OpenStreetMap,Cubana Restaurant Lounge Bar Club,bar,,,10.3108397,123.89865,
OpenStreetMap,Sunburst,restaurant,,,10.3103937,123.8964587,
OpenStreetMap,Hotel Capada,hotel,,,10.311621,123.8952607,
OpenStreetMap,McSherry Pension House,hotel,,,10.2979334,123.8987384,
OpenStreetMap,Hotel Le Carmen,hotel,,,10.3115986,123.8953448,
OpenStreetMap,The Beer Barrel Cebu,restaurant,,,10.3436554,123.9110937,
OpenStreetMap,Mamma Maria's Pizzeria,restaurant,,,10.3317194,123.9076232,
OpenStreetMap,Shakey's,restaurant,,,10.3285766,123.905735,
OpenStreetMap,Indiana Condotel,hotel,,,10.3076102,123.8995602,
OpenStreetMap,Pizzeria Michelangelo,restaurant,,,10.3436961,123.9108944,
OpenStreetMap,Tonros Apartelle,guest_house,,,10.3192056,123.9000085,
OpenStreetMap,Bernle's Lodge,guest_house,,,10.3120416,123.9032073,
OpenStreetMap,Vacation Hotel Cebu,hotel,,,10.3153718,123.8940345,
OpenStreetMap,Kakadu Gentlements,bar,,,10.3113098,123.8993089,
